Sample ID,Peak 1,Trough 1,Breakdown,Final Visc,Setback,Peak Time,Pasting Temp
3,5600,1202,4398,1750,548,3.866666667,75.85
4,5416,1255,4161,1695,440,3.8,74.3
7,6830,2728,4102,3869,1141,4.133333333,75.85
8,6964,2990,3974,4512,1522,4.2,74.3
9,6787,2957,3830,3996,1039,4.133333333,75.05
10,6712,2693,4019,3912,1219,4,75.85
13,6749,2574,4175,3796,1222,4,75.8
14,6566,2810,3756,3772,962,4.066666667,75.85
16,6527,2675,3852,3923,1248,4.066666667,76.65
17,7252,2755,4497,3825,1070,3.866666667,74.25
19,6501,2701,3800,3649,948,4.2,75.1
20,6914,2861,4053,3942,1081,4,75.9
21,6884,2848,4036,3896,1048,4.133333333,75
23,5975,1238,4737,1769,531,3.933333333,75.9
24,6651,2005,4646,3106,1101,3.8,75.15
26,7234,3044,4190,4100,1056,4.266666667,75.95
27,6968,2813,4155,3858,1045,4.133333333,75.1
29,6220,2411,3809,3557,1146,3.866666667,75.05
30,6162,978,5184,1362,384,3.8,75.1
31,7195,2849,4346,4089,1240,4.133333333,73.45
33,6783,3017,3766,4031,1014,4.2,74.3
34,7395,3797,3598,4772,975,4.533333333,73.4
35,6602,2637,3965,3643,1006,4.066666667,74.3
36,6214,1276,4938,1755,479,3.8,74.2
37,6714,2702,4012,3824,1122,4,74.35
38,6851,2855,3996,3902,1047,4.066666667,74.3
39,6839,2791,4048,3890,1099,4,75.05
41,6976,2586,4390,3872,1286,3.866666667,75.05
43,6637,2590,4047,3799,1209,3.8,72.55
44,6970,2541,4429,3598,1057,4,75.9
45,6502,1506,4996,2331,825,3.866666667,75.85
46,7153,2822,4331,4169,1347,3.8,75.05
47,6623,2527,4096,3629,1102,4,75.9
48,6972,2512,4460,3887,1375,3.866666667,75.1
49,5086,1179,3907,1603,424,3.866666667,73.4
51,7189,2793,4396,4270,1477,4,72.6
52,6939,2836,4103,3871,1035,4.066666667,75.9
53,6691,2542,4149,3704,1162,3.8,74.35
54,6002,2514,3488,3723,1209,4.333333333,73.45
55,6711,2523,4188,3576,1053,3.866666667,75.9
57,6795,2760,4035,3927,1167,3.933333333,75.15
58,6261,2596,3665,3590,994,4.133333333,75.85
59,6446,2990,3456,4049,1059,4.066666667,76.75
60,6859,2824,4035,3978,1154,4,74.3
61,6188,2467,3721,3695,1228,4.2,76.7
62,6438,2496,3942,3715,1219,4.066666667,76.6
